Ticker,Year,QTR,Report Date,Shares (Basic),Shares (Diluted),Revenue,Pretax Income (Loss),Net Income (Common),Stock Price,Stock pct Increase,Op. Invested Capital,Fin. Invested Capital,Invested Capital,Owner Earnings,Free Cash Flow,Net Worth,Market Cap,PE,PB,PB (Tangible),Faustmann Ratio,ROIC,Profit Margin,ROA,ROE
AAPL,2007,Q1,12/31/2006,24208660000,24900176000,7115000000,1448000000,1004000000,3.710859776,0.432336581,10835000000,10182000000,10182000000,848000000,724000000,22051000000,92401061522,15.95322195,8.229520976,8.366629982,4.190334294,0.568846985,0.312016866,0.297620883,0.357677235
AAPL,2007,Q2,3/31/2007,24208660000,24900176000,5264000000,1134000000,770000000,4.240282536,0.14266849,14807000000,13734000000,13734000000,1376000000,1263000000,29120000000,1.06E+11,23.27684776,7.265605658,7.438096613,3.62581667,0.330275229,0.351253799,0.178956089,0.21194605
AAPL,2007,Q3,6/30/2007,24208660000,24900176000,5410000000,1196000000,818000000,5.579609394,0.315857929,13616000000,12200000000,12200000000,1160000000,1010000000,25967000000,1.39E+11,29.04123243,10.36505938,10.58216589,5.35037763,0.392131148,0.368761553,0.221000601,0.244106237
AAPL,2007,Q4,9/30/2007,24208660000,24900176000,6217000000,1230000000,904000000,3.828136206,-0.313906058,14807000000,15073000000,15073000000,419000000,477000000,30459000000,95321265273,19.37424091,6.559404437,6.715129642,3.129494247,0.326411464,0.336175004,0.194105811,0.248830168
AAPL,2008,Q1,12/31/2007,24577294000,25198838000,9608000000,2326000000,1581000000,5.779559612,0.509758092,20959000000,18053000000,18053000000,1111000000,965000000,40164000000,1.46E+11,15.65328744,6.925258506,7.091157191,3.6260877,0.515371406,0.346794338,0.235115738,0.300713267
AAPL,2008,Q2,3/31/2008,24577294000,25198838000,7512000000,1477000000,1045000000,5.191040039,-0.101827754,20959000000,19745000000,19745000000,1568000000,1456000000,41856000000,1.31E+11,22.14085596,6.220074988,6.369080582,3.12519536,0.299214991,0.329339723,0.149297483,0.198763671
AAPL,2008,Q3,6/30/2008,24744664000,25288676000,7464000000,1510000000,1072000000,2.83757329,-0.453370949,21248000000,18604000000,18604000000,1733000000,1560000000,39378000000,71758471554,11.88054165,3.657041665,3.719404528,1.822298531,0.324661363,0.348338692,0.190482197,0.218530221
AAPL,2008,Q4,9/30/2008,24839052000,25353216000,12907000000,3634000000,2421000000,2.734688759,-0.036257929,20959000000,19237000000,19237000000,2293000000,1788000000,41348000000,69333154796,4.769754733,3.296868987,3.375847444,1.676820035,0.755627177,0.371193926,0.367330436,0.460485021
AAPL,2009,Q1,12/31/2008,24895976000,25241832000,11880000000,3259000000,2255000000,4.158527851,0.520658553,23263000000,14332000000,14332000000,2167000000,1714000000,39979000000,1.05E+11,8.052229318,4.581992291,4.68088568,2.625599975,0.909572984,0.379377104,0.30467198,0.393731721
AAPL,2009,Q2,3/31/2009,24953040000,25283804000,9084000000,2386000000,1620000000,5.150619507,0.238567996,22916000000,20700000000,20700000000,3829000000,3353000000,45713000000,1.30E+11,13.64493442,5.356721406,5.463469294,2.848801306,0.461062802,0.399273448,0.220736869,0.266546008
AAPL,2009,Q3,6/30/2009,25023936000,25456480000,9734000000,2692000000,1828000000,6.121281147,0.188455319,21421000000,24757000000,24757000000,2804000000,2413000000,48979000000,1.56E+11,14.47123617,6.019247184,6.129583475,3.181491478,0.434947692,0.409184302,0.223680931,0.282447466
AAPL,2009,Q4,9/30/2009,25144840000,25602444000,12207000000,3729000000,2532000000,6.265501499,0.023560485,23250000000,28188000000,28188000000,3692000000,3262000000,51652000000,1.60E+11,10.75436788,5.069916285,5.143558254,3.105632914,0.529161345,0.418202671,0.314014442,0.320101138
AAPL,2010,Q1,12/31/2009,25299176000,25753924000,15683000000,4758000000,3378000000,7.865712166,0.255400253,23591000000,32333000000,32333000000,3034000000,2404000000,57129000000,2.03E+11,10.64380797,5.663524752,5.74284043,3.545886561,0.588624625,0.408786584,0.352928087,0.377767837
AAPL,2010,Q2,3/31/2010,25411344000,25840584000,13499000000,4029000000,3074000000,7.443767548,-0.053643537,23874000000,39427000000,39427000000,5949000000,5250000000,62582000000,1.92E+11,11.93542446,4.888464486,4.982548908,3.073588262,0.408755421,0.416697533,0.282454388,0.312493646
